id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
1,2017,Hyderabad,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",Ay Dandekar,Nj Llong,Target is defended,Team1 Home
2,2017,Pune,2017-04-06,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,Spd Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,Target is chased,Team2 Home
3,2017,Rajkot,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,Ca Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,Ck Nandan,Target is chased,Neutral
4,2017,Indore,2017-04-08,Rising Pune Supergiant,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Gj Maxwell,Holkar Cricket Stadium,Ak Chaudhary,C Shamshuddin,Target is chased,Neutral
5,2017,Bangalore,2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,Km Jadhav,M Chinnaswamy Stadium,Unknown,Unknown,Target is defended,Team1 Home
6,2017,Hyderabad,2017-04-09,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,Nj Llong,Target is chased,Team2 Home
7,2017,Mumbai,2017-04-09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,N Rana,Wankhede Stadium,Nitin Menon,Ck Nandan,Target is chased,Team2 Home
8,2017,Indore,2017-04-10,Royal Challengers Bangalore,Kings Xi Punjab,Royal Challengers Bangalore,bat,normal,0,Kings Xi Punjab,0,8,Ar Patel,Holkar Cricket Stadium,Ak Chaudhary,C Shamshuddin,Target is chased,Neutral
9,2017,Pune,2017-04-11,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,97,0,Sv Samson,Maharashtra Cricket Association Stadium,Ay Dandekar,S Ravi,Target is defended,Team2 Home
10,2017,Mumbai,2017-04-12,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,Jj Bumrah,Wankhede Stadium,Nitin Menon,Ck Nandan,Target is chased,Team2 Home
11,2017,Kolkata,2017-04-13,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Sp Narine,Eden Gardens,A Deshmukh,Nj Llong,Target is chased,Team2 Home
12,2017,Bangalore,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,Ka Pollard,M Chinnaswamy Stadium,Kn Ananthapadmanabhan,Ak Chaudhary,Target is chased,Team1 Home
13,2017,Rajkot,2017-04-14,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,Aj Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,Target is chased,Neutral
14,2017,Kolkata,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,Rv Uthappa,Eden Gardens,Ay Dandekar,Nj Llong,Target is defended,Team1 Home
15,2017,Delhi,2017-04-15,Delhi Daredevils,Kings Xi Punjab,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,Cj Anderson,Feroz Shah Kotla,Yc Barde,Nitin Menon,Target is defended,Team1 Home
16,2017,Mumbai,2017-04-16,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,Target is chased,Team2 Home
17,2017,Bangalore,2017-04-16,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,27,0,Ba Stokes,M Chinnaswamy Stadium,Kn Ananthapadmanabhan,C Shamshuddin,Target is defended,Team2 Home
18,2017,Delhi,2017-04-17,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,4,Nm Coulter-Nile,Feroz Shah Kotla,Nitin Menon,Ck Nandan,Target is chased,Team1 Home
19,2017,Hyderabad,2017-04-17,Sunrisers Hyderabad,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Sunrisers Hyderabad,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Ay Dandekar,A Deshmukh,Target is defended,Team1 Home
20,2017,Rajkot,2017-04-18,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,21,0,Ch Gayle,Saurashtra Cricket Association Stadium,S Ravi,Vk Sharma,Target is defended,Neutral
